order_id,customer_id,product_category,quantity,unit_price,region,order_date
1,C001,Electronics,5,100.0,North America,2024-01-01
2,C002,Clothing,,25.0,Europe,2024-01-02
3,C001,Electronics,5,100.0,North America,2024-01-01
4,C003,Home,2,,Asia,2024-01-03
5,C002,Clothing,3,25.0,Europe,2024-01-04
6,C004,Electronics,7,150.0,North America,2024-01-05
7,C005,Home,4,80.0,Asia,2024-01-06
8,C001,Clothing,2,25.0,Europe,2024-01-07
9,C003,Home,4,80.0,Asia,2024-01-08
10,C002,Electronics,,120.0,North America,2024-01-09
11,C004,Clothing,1,25.0,Europe,2024-01-10
12,C005,Electronics,6,150.0,North America,2024-01-11
13,C001,Home,3,80.0,Asia,2024-01-12
14,C003,Clothing,2,25.0,Europe,2024-01-13
15,C002,Clothing,3,25.0,Europe,2024-01-04
