Date,Region,Product_Category,Units_Sold,Revenue
2024-01-01,North,Electronics,5,1200
2024-01-02,North,Clothing,8,400
2024-01-03,South,Electronics,12,2800
2024-01-04,South,Food,15,450
2024-01-05,East,Home,6,900
2024-01-06,East,Electronics,10,2400
2024-01-07,West,Clothing,9,500
2024-01-08,West,Food,20,600
2024-01-09,North,Food,7,210
2024-01-10,North,Home,4,600
2024-01-11,South,Clothing,11,550
2024-01-12,South,Home,8,1200
2024-01-13,East,Clothing,6,300
2024-01-14,East,Food,18,540
2024-01-15,West,Electronics,7,1680
