Date,Customer_ID,Segment,Amount
2024-01-05,C001,Premium,250
2024-01-08,C002,Standard,120
2024-01-10,C003,Basic,45
2024-01-12,C001,Premium,300
2024-01-15,C004,Standard,150
2024-01-18,C005,Basic,60
2024-01-20,C001,Premium,280
2024-01-22,C002,Standard,130
2024-01-25,C003,Basic,50
2024-02-02,C001,Premium,320
2024-02-05,C004,Standard,140
2024-02-08,C005,Basic,55
2024-02-10,C002,Standard,125
2024-02-12,C001,Premium,290
2024-02-15,C003,Basic,65
2024-02-18,C004,Standard,160
2024-02-20,C001,Premium,310
2024-02-22,C005,Basic,70
2024-03-01,C002,Standard,135
2024-03-05,C001,Premium,330
2024-03-08,C003,Basic,48
2024-03-10,C004,Standard,155
2024-03-12,C005,Basic,62
2024-03-15,C001,Premium,340
2024-03-18,C002,Standard,145
2024-03-20,C003,Basic,58
2024-03-22,C004,Standard,165
2024-03-25,C001,Premium,350
2024-04-02,C005,Basic,75
2024-04-05,C002,Standard,140
