customer_id,tenure_months,monthly_charges,contract_type,y_true,y_pred_proba
C001,2,89.5,month-to-month,1,0.82
C002,34,54.2,two-year,0,0.11
C003,5,95.0,month-to-month,1,0.71
C004,58,42.8,two-year,0,0.05
C005,1,102.3,month-to-month,1,0.93
C006,22,63.4,one-year,0,0.34
C007,3,88.0,month-to-month,1,0.58
C008,47,39.9,two-year,0,0.09
C009,9,76.5,month-to-month,0,0.46
C010,12,59.0,one-year,1,0.61
C011,60,45.0,two-year,0,0.02
C012,4,91.2,month-to-month,1,0.77
C013,18,68.7,one-year,0,0.28
C014,7,85.4,month-to-month,1,0.49
C015,29,52.1,two-year,0,0.15
