date,product,product_category,region,quantity,price,revenue
2024-01-01,Laptop,Electronics,North,2,800,1600
2024-01-02,Shirt,Clothing,South,-1,20,
2024-01-03,Sofa,Home,East,1,500,500
2024-01-04,Monitor,Electronics,West,3,300,900
2024-01-05,Jeans,Clothing,North,5,40,200
2024-01-06,Desk,Home,South,1,250,250
2024-01-07,Keyboard,Electronics,East,10,50,500
2024-01-08,T-Shirt,Clothing,,2,15,30
2024-01-09,Chair,Home,North,4,150,600
2024-01-10,Headphones,Electronics,West,6,80,480
2024-01-11,Sweater,Clothing,South,3,35,105
2024-01-12,Lamp,Home,East,2,45,90
2024-01-13,Tablet,Electronics,North,1,400,400
2024-01-14,Pants,Clothing,West,4,50,200
2024-01-15,Bookshelf,Home,South,,100,
2024-01-16,Mouse,Electronics,East,8,25,200
2024-01-17,Jacket,Clothing,North,2,60,120
2024-01-18,Bed,Home,West,1,800,800
2024-01-19,Speaker,Electronics,South,5,120,600
2024-01-20,Dress,Clothing,East,3,45,135
2024-01-21,Table,Home,North,1,400,400
2024-01-22,Monitor,Electronics,South,2,300,600
2024-01-23,Shoes,Clothing,West,6,55,330
2024-01-24,Rug,Home,East,2,80,160
2024-01-25,Laptop,Electronics,North,1,800,800
2024-01-26,Shirt,Clothing,South,4,20,80
2024-01-27,Sofa,Home,West,1,500,500
2024-01-28,Keyboard,Electronics,East,7,50,350
2024-01-29,Jeans,Clothing,North,3,40,120
2024-01-30,Desk,Home,South,2,250,500
