date,temperature,humidity,precipitation,wind_speed,condition
2024-01-01,15.2,65,0.0,10.5,Sunny
2024-01-02,14.8,70,2.3,12.1,Rainy
2024-01-03,,72,0.0,9.8,Cloudy
2024-01-04,16.1,68,,11.2,Sunny
2024-01-05,12.5,75,5.6,14.3,Rainy
2024-01-06,18.3,62,0.0,8.9,Sunny
2024-01-07,13.9,78,3.2,13.5,Rainy
2024-01-08,17.6,64,,10.1,Sunny
2024-01-09,,71,1.1,11.8,Cloudy
2024-01-10,14.2,73,4.8,12.9,Rainy
2024-01-11,19.1,60,0.0,7.6,Sunny
2024-01-12,15.7,69,0.5,10.3,Cloudy
2024-01-13,13.4,76,6.2,15.1,Rainy
2024-01-14,20.2,58,,6.8,Sunny
2024-01-15,16.8,67,2.1,9.7,Cloudy
