customer_id,age,region,product_category,purchase_amount,purchase_date,customer_tenure_months,satisfaction_score
1001,28,North,Electronics,1250.50,2023-01-15,24,4.5
1002,35,South,Clothing,89.99,2023-01-18,12,3.8
1003,42,East,Home,450.00,2023-01-20,36,4.2
1004,29,West,Electronics,2100.75,2023-01-22,18,4.7
1005,51,North,Clothing,120.50,2023-01-25,48,3.5
1006,31,South,Home,680.25,2023-02-01,6,4.1
1007,38,East,Electronics,1890.00,2023-02-05,30,4.6
1008,26,West,Clothing,95.75,2023-02-10,3,3.9
1009,45,North,Home,520.00,2023-02-15,42,4.3
1010,33,South,Electronics,1650.50,2023-02-20,15,4.4
1011,40,East,Clothing,110.25,2023-02-25,24,3.7
1012,27,West,Home,750.00,2023-03-01,9,4.0
1013,36,North,Electronics,2250.75,2023-03-05,27,4.8
1014,44,South,Home,580.50,2023-03-10,39,4.2
1015,30,East,Clothing,105.00,2023-03-15,12,3.6
